ID,Male,Before8,Before7,Before6,Before5,Before4,Before3,Before2,Before1,After1,After2,After3,After4,After5,After6,After7,After8,After9,After10,After11,After12,Before,After,Control,High
44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.142857142857143,0,0
58,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1,0,0,0,0,0,0,0,0,1,2,2,2,2,3,2,0,0,0,0,0,0,0.714285714285714,0,0
61,0,0,0,0,0,0,0,0,0,4,3,2,1,1,1,2,2,1,2,2,2,0,1.71428571428571,0,0
62,0,0,0,0,0,0,0,0,0,5,3,2,2,2,2,2,1,3,2,1,1,0,1.71428571428571,0,0
63,1,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0.25,0.428571428571429,0,0
64,0,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0
65,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
66,0,0,3,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.875,0,0,0
