age_group,year,state,voted,yearSDR
18-24,1986,Florida,0.23037542662116042,NA
18-24,1986,Georgia,0.14893617021276595,NA
18-24,1986,Hawaii,0.32231404958677684,2018
18-24,1986,Idaho,0.4,1994
18-24,1986,Illinois,0.24512987012987014,2006
18-24,1986,Indiana,0.24882629107981222,NA
18-24,1986,Iowa,0.18461538461538463,2008
18-24,1986,Kansas,0.2810810810810811,NA
18-24,1986,Kentucky,0.1724137931034483,NA
18-24,1986,Louisiana,0.3883495145631068,NA
18-24,1986,Maine,0.20155038759689922,1978
18-24,1986,Maryland,0.2697095435684647,2016
18-24,1986,Massachusetts,0.18855218855218855,NA
18-24,1986,Michigan,0.21513353115727002,NA
18-24,1986,Minnesota,0.3125,1978
18-24,1986,Mississippi,0.24336283185840707,NA
18-24,1986,Missouri,0.19213973799126638,NA
18-24,1986,Montana,0.357487922705314,2006
18-24,1986,Nebraska,0.25133689839572193,NA
18-24,1986,Nevada,0.18487394957983194,NA
18-24,1986,New Hampshire,0.07874015748031496,1996
18-24,1986,New Jersey,0.1970684039087948,NA
18-24,1986,New Mexico,0.17894736842105263,NA
18-24,1986,New York,0.2386138613861386,NA
18-24,1986,North Carolina,0.1953125,2008
18-24,1986,Ohio,0.2686781609195402,2006
18-24,1986,Oklahoma,0.22727272727272727,NA
18-24,1986,Oregon,0.27450980392156865,NA
18-24,1986,Pennsylvania,0.19286871961102106,NA
18-24,1986,Rhode Island,0.17687074829931973,NA
18-24,1986,South Carolina,0.2081447963800905,NA
18-24,1986,South Dakota,0.336322869955157,NA
18-24,1986,Tennessee,0.23979591836734693,NA
18-24,1986,Texas,0.18435754189944134,NA
18-24,1986,Utah,0.19791666666666666,2018
18-24,1986,Vermont,0.2553191489361702,2018
18-24,1986,Virginia,0.2317596566523605,NA
18-24,1986,Washington,0.15333333333333332,NA
18-24,1986,West Virginia,0.16,NA
18-24,1986,Wisconsin,0.208955223880597,1978
18-24,1986,Wyoming,0.3,1994
18-24,1988,Alabama,0.20068027210884354,NA
18-24,1988,Alaska,0.2072072072072072,NA
18-24,1988,Arizona,0.204,NA
18-24,1988,Arkansas,0.17763157894736842,NA
18-24,1988,California,0.2470960929250264,2018
18-24,1988,Colorado,0.33668341708542715,2014
18-24,1988,Connecticut,0.34210526315789475,2014
18-24,1988,Delaware,0.28110599078341014,NA
18-24,1988,Florida,0.18594594594594593,NA
18-24,1988,Georgia,0.176056338028169,NA
18-24,1988,Hawaii,0.17647058823529413,2018
18-24,1988,Idaho,0.16356877323420074,1994
18-24,1988,Illinois,0.24373795761078998,2006
18-24,1988,Indiana,0.23735408560311283,NA
18-24,1988,Iowa,0.26557377049180325,2008
18-24,1988,Kansas,0.24610591900311526,NA
18-24,1988,Kentucky,0.19572953736654805,NA
18-24,1988,Louisiana,0.2988929889298893,NA
18-24,1988,Maine,0.30165289256198347,1978
18-24,1988,Maryland,0.21818181818181817,2016
18-24,1988,Massachusetts,0.27018299246501615,NA
18-24,1988,Michigan,0.22242647058823528,NA
18-24,1988,Minnesota,0.34172661870503596,1978
18-24,1988,Mississippi,0.2676470588235294,NA
18-24,1988,Missouri,0.2572614107883817,NA
18-24,1988,Montana,0.2610294117647059,2006
18-24,1988,Nebraska,0.21505376344086022,NA
18-24,1988,Nevada,0.1792452830188679,NA
18-24,1988,New Hampshire,0.16753926701570682,1996
18-24,1988,New Jersey,0.2763596004439512,NA
18-24,1988,New Mexico,0.19798657718120805,NA
18-24,1988,New York,0.2673913043478261,NA
18-24,1988,North Carolina,0.2,2008
18-24,1988,Ohio,0.27798507462686567,2006
18-24,1988,Oklahoma,0.2,NA
18-24,1988,Oregon,0.2,NA
18-24,1988,Pennsylvania,0.19268030139935413,NA
18-24,1988,Rhode Island,0.24644549763033174,NA
18-24,1988,South Carolina,0.167192429022082,NA
18-24,1988,South Dakota,0.2693409742120344,NA
18-24,1988,Tennessee,0.20774647887323944,NA
18-24,1988,Texas,0.23593466424682397,NA
18-24,1988,Utah,0.3333333333333333,2018
18-24,1988,Vermont,0.2644230769230769,2018
18-24,1988,Virginia,0.2551928783382789,NA
18-24,1988,Washington,0.22580645161290322,NA
18-24,1988,West Virginia,0.2310126582278481,NA
18-24,1988,Wisconsin,0.3323262839879154,1978
18-24,1988,Wyoming,0.18407960199004975,1994
18-24,1990,Alabama,0.2756756756756757,NA
18-24,1990,Alaska,0.3037383177570093,NA
18-24,1990,Arizona,0.26956521739130435,NA
18-24,1990,Arkansas,0.23493975903614459,NA
18-24,1990,California,0.28437132784958874,2018
18-24,1990,Colorado,0.2708333333333333,2014
18-24,1990,Connecticut,0.20567375886524822,2014
18-24,1990,Delaware,0.12931034482758622,NA
18-24,1990,Florida,0.2247191011235955,NA
18-24,1990,Georgia,0.17088607594936708,NA
18-24,1990,Hawaii,0.2956521739130435,2018
18-24,1990,Idaho,0.21019108280254778,1994
18-24,1990,Illinois,0.2060931899641577,2006
18-24,1990,Indiana,0.272108843537415,NA
18-24,1990,Iowa,0.2564102564102564,2008
18-24,1990,Kansas,0.2391304347826087,NA
18-24,1990,Kentucky,0.1830065359477124,NA
18-24,1990,Louisiana,0.3125,NA
18-24,1990,Maine,0.4126984126984127,1978
18-24,1990,Maryland,0.21774193548387097,2016
18-24,1990,Massachusetts,0.36380597014925375,NA
